	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
1	1	1	2	2	3	3	4	5	6	7	8	9	10	11	12	13	14	15	17	20
2	2	2	3	3	4	4	6	7	9	11	13	15	18	20	22	24	26	29	32	37
3	4	4	5	6	8	9	11	13	15	17	19	20	23	25	28	34	41	50	56	65
4	6	7	8	9	11	13	16	18	21	24	26	29	32	36	40	49	58	69	77	88
5	8	9	10	13	15	17	20	23	27	30	33	37	42	47	52	62	74	88	96	109
6	10	11	12	15	17	20	23	27	31	34	38	42	48	54	60	72	85	100	109	122
7	12	13	14	17	20	23	27	31	35	39	43	48	55	62	69	82	97	113	122	136
8	14	15	17	20	23	26	30	34	39	44	48	53	62	70	79	93	108	126	136	151
9	16	17	19	22	26	29	34	38	43	48	54	59	69	78	88	104	121	140	150	166
10	18	19	21	25	29	33	37	42	47	53	59	65	76	87	98	115	133	154	165	181
11	19	21	23	27	31	35	41	46	51	58	64	71	82	94	106	124	143	166	177	193
12	21	23	24	29	33	37	42	48	53	60	66	73	85	97	110	128	148	171	183	201
13	22	24	26	30	34	39	44	49	55	62	68	75	88	100	113	132	152	175	189	210
14	23	25	27	32	36	40	46	51	57	64	71	78	90	103	116	136	156	180	195	218
15	25	27	29	33	37	42	47	53	59	66	73	80	93	106	120	139	161	185	202	226
16	26	28	30	35	39	44	49	55	60	68	75	83	96	109	123	143	165	190	208	234
17	27	29	32	36	41	45	51	57	62	70	77	85	99	112	126	147	169	195	214	242
18	29	31	33	38	42	47	53	58	64	72	80	87	101	115	129	151	174	200	220	250
19	30	32	34	39	44	49	54	60	66	74	82	90	104	118	133	154	178	205	226	258
20	31	34	36	41	45	50	56	62	68	76	84	92	107	121	136	158	182	210	233	267
21	33	35	37	42	47	52	58	64	70	78	86	95	109	124	139	162	187	215	239	275
22	33	36	38	43	48	53	59	65	71	80	88	97	112	127	142	166	191	220	245	283
23	34	37	39	44	49	54	61	67	73	82	90	99	115	130	145	169	195	225	251	291
24	35	37	40	45	50	56	62	68	75	84	92	102	117	132	148	173	199	230	258	299
25	35	38	41	46	52	57	63	70	76	85	95	104	120	135	151	176	204	235	264	307
26	36	39	42	48	53	58	65	71	78	87	97	106	122	138	154	180	208	240	270	315
27	37	40	43	49	54	59	66	73	79	89	99	109	125	141	157	183	212	245	276	324
28	37	41	44	50	55	61	67	74	81	91	101	111	127	143	160	187	216	250	282	332
29	38	42	45	51	56	62	69	76	83	93	103	113	130	146	163	191	220	255	289	340
30	39	42	46	52	57	63	70	77	84	94	105	116	132	149	166	194	225	260	295	348
31	39	43	47	53	59	65	72	79	86	96	107	118	135	152	169	198	229	265		
32	40	44	48	54	60	66	73	80	87	98	109	120	137	154	172	201	233	270		
